Rank,Representative,Party,District,Birth Date,Seniority Date,End Date,Death,Midterm Resign,Retired,Other Office,Defeated In Primary,Defeated In General,Reelected,Status
,John Fleming,R,Louisiana?4,"July 5, 1951","January 3, 2009","January 3, 2017",,,,1,,,0,4
,Mick Mulvaney,R,South Carolina?5,"July 21, 1967","January 3, 2009","February 16, 2017",,,,1,,,0,4
,Jared Polis,D,Colorado?2,"May 12, 1975","January 3, 2009","January 3, 2019",,,,1,,,0,4
,Kristi Noem,R,South Dakota?AL,"November 30, 1971","January 3, 2009","January 3, 2019",,,,1,,,0,4
,Todd Rokita,R,Indiana?4,"February 9, 1970","January 3, 2009","January 3, 2019",,,,1,,,0,4
,Raul Labrador,R,Idaho?1,"December 8, 1967","January 3, 2009","January 3, 2019",,,,1,,,0,4
,Jim Renacci,R,Ohio?16,"December 3, 1958","January 3, 2009","January 3, 2019",,,,1,,,0,4
,Lou Barletta,R,Pennsylvania?11,"January 28, 1956","January 3, 2009","January 3, 2019",,,,1,,,0,4
,Diane Black,R,Tennessee?6,"January 16, 1951","January 3, 2009","January 3, 2019",,,,1,,,0,4
,Ben Ray Luj?n,D,New Mexico?3,"June 7, 1972","January 3, 2009","January 3, 2021",,,,1,,,0,4
,Cynthia Lummis,R,Wyoming?at-large,"September 10, 1954","January 3, 2009","January 3, 2017",,,1,,,,0,3
,Pat Meehan,R,Pennsylvania?7,"October 20, 1955","January 3, 2009","April 27, 2018",,,1,,,,0,3
,Tom Rooney,R,Florida?17,"November 21, 1970","January 3, 2009","January 3, 2019",,,1,,,,0,3
,Trey Gowdy,R,South Carolina?4,"August 22, 1964","January 3, 2009","January 3, 2019",,,1,,,,0,3
,Lynn Jenkins,R,Kansas?2,"June 10, 1963","January 3, 2009","January 3, 2019",,,1,,,,0,3
,Gregg Harper,R,Mississippi?3,"June 1, 1956","January 3, 2009","January 3, 2019",,,1,,,,0,3
,Dennis Ross,R,Florida?15,"October 18, 1959","January 3, 2009","January 3, 2019",,,1,,,,0,3
,Phil Roe,R,Tennessee?1,"July 21, 1945","January 3, 2009","January 3, 2021",,,1,,,,0,3
,Pete Olson,R,Texas?22,"December 9, 1962","January 3, 2009","January 3, 2021",,,1,,,,0,3
,Aaron Schock,R,Illinois?18,"May 28, 1981","January 3, 2009","March 31, 2015",,1,,,,,0,2
,Blake Farenthold,R,Texas?27,"December 12, 1961","January 3, 2009","April 6, 2018",,1,,,,,0,2
,Jason Chaffetz,R,Utah?3,"March 26, 1967","January 3, 2009","January 3, 2019",,1,,,,,0,2
,Duncan D. Hunter,R,California?50,"December 7, 1976","January 3, 2009","January 13, 2020",,1,,,,,0,2
117,Bill Posey,R,Florida?8,"December 18, 1947","January 3, 2009",,,,,,,,1,0
120,Paul Tonko,D,New York?20,"June 18, 1949","January 3, 2009",,,,,,,,1,0
111,Gerry Connolly,D,Virginia?11,"March 30, 1950","January 3, 2009",,,,,,,,1,0
114,Blaine Luetkemeyer,R,Missouri?3,"May 7, 1952","January 3, 2009",,,,,,,,1,0
116,Chellie Pingree,D,Maine?1,"April 2, 1955","January 3, 2009",,,,,,,,1,0
115,Tom McClintock,R,California?4,"July 10, 1956","January 3, 2009",,,,,,,,1,0
119,Glenn Thompson,R,Pennsylvania?15,"July 27, 1959","January 3, 2009",,,,,,,,1,0
112,Brett Guthrie,R,Kentucky?2,"February 18, 1964","January 3, 2009",,,,,,,,1,0
113,Jim Himes,D,Connecticut?4,"July 5, 1966","January 3, 2009",,,,,,,,1,0
121,Mike Quigley,D,Illinois?5,"October 17, 1958","April 7, 2009",,,,,,,,1,0
122,Judy Chu,D,California?27,"July 7, 1953","July 14, 2009",,,,,,,,1,0
,Bill Owens,D,New York?21,"October 22, 1950","November 3, 2009","January 3, 2015",,,,1,,,0,4
123,John Garamendi,D,California?3,"January 24, 1945","November 3, 2009",,,,,,,,1,0
124,Ted Deutch,D,Florida?22,"May 7, 1966","April 13, 2010",,,,1,,,,0,3
,Tom Graves,R,Georgia?14,"February 3, 1970","June 8, 2010","October 4, 2020",,1,,,,,0,2
,Marlin Stutzman,R,Indiana?3,"August 31, 1976","November 2, 2010","January 3, 2017",,,,1,,,0,4
125,Tom Reed,R,New York?23,"November 18, 1971","November 2, 2010","May 10, 2022",,1,,,,,0,2
,Michael Grimm,R,New York?11,"February 7, 1970","January 3, 2011","January 5, 2015",,1,,,,,0,2
,Steve Southerland,R,Florida?2,"October 10, 1965","January 3, 2011","January 3, 2015",,,,,,1,0,6
,Peter Roskam,R,Illinois?6,"September 13, 1961","January 3, 2011","January 3, 2019",,,,,,1,0,6
,Tim Huelskamp,R,Kansas?1,"November 11, 1968","January 3, 2011","January 3, 2017",,,,,1,,0,5
,Renee Ellmers,R,North Carolina?2,"February 9, 1964","January 3, 2011","January 3, 2017",,,,,1,,0,5
,Scott Tipton,R,Colorado?3,"November 9, 1956","January 3, 2011","January 3, 2021",,,,,1,,0,5
149,David McKinley,R,West Virginia?1,"March 28, 1947","January 3, 2011",,,,,,1,,0,5
150,Steven Palazzo,R,Mississippi?4,"February 21, 1970","January 3, 2011",,,,,,1,,0,5
142,Jaime Herrera Beutler,R,Washington?3,"November 3, 1978","January 3, 2011",,,,,,1,,0,5
,James Lankford,R,Oklahoma?5,"March 4, 1968","January 3, 2011","January 3, 2015",,,,1,,,0,4
,Cory Gardner,R,Colorado?4,"August 22, 1974","January 3, 2011","January 3, 2015",,,,1,,,0,4
,Tim Griffin,R,Arkansas?2,"August 21, 1968","January 3, 2011","January 3, 2015",,,,1,,,0,4
,Todd Young,R,Indiana?9,"August 24, 1972","January 3, 2011","January 3, 2017",,,,1,,,0,4
,Joe Heck,R,Nevada?3,"October 30, 1961","January 3, 2011","January 3, 2017",,,,1,,,0,4
,John Carney,D,Delaware?at-large,"May 20, 1956","January 3, 2011","January 3, 2017",,,,1,,,0,4
,Mike Pompeo,R,Kansas?4,"December 30, 1963","January 3, 2011","January 23, 2017",,,,1,,,0,4
,Keith Ellison,D,Minnesota?5,"August 4, 1963","January 3, 2011","January 3, 2019",,,,1,,,0,4
,Steve Pearce,R,New Mexico?2,"August 24, 1947","January 3, 2011","January 3, 2019",,,,1,,,0,4
129,Karen Bass,D,California?37,"October 3, 1953","January 3, 2011",,,,,1,,,0,4
130,Mo Brooks,R,Alabama?5,"April 29, 1954","January 3, 2011",,,,,1,,,0,4
148,Billy Long,R,Missouri?7,"August 11, 1955","January 3, 2011",,,,,1,,,0,4
141,Vicky Hartzler,R,Missouri?4,"October 13, 1960","January 3, 2011",,,,,1,,,0,4
,Jon Runyan Sr.,R,New Jersey?3,"November 27, 1973","January 3, 2011","January 3, 2015",,,1,,,,0,3
,Stephen Fincher,R,Tennessee?8,"February 7, 1973","January 3, 2011","January 3, 2017",,,1,,,,0,3
,Robert Hurt,R,Virginia?5,"June 16, 1969","January 3, 2011","January 3, 2017",,,1,,,,0,3
,Chris Gibson,R,New York?19,"May 13, 1964","January 3, 2011","January 3, 2017",,,1,,,,0,3
,Mike Fitzpatrick,R,Pennsylvania?8,"June 28, 1963","January 3, 2011","January 3, 2017",,,1,,,,0,3
,Scott Rigell,R,Virginia?2,"May 28, 1960","January 3, 2011","January 3, 2017",,,1,,,,0,3
,Reid Ribble,R,Wisconsin?8,"April 5, 1956","January 3, 2011","January 3, 2017",,,1,,,,0,3
,Dan Benishek,R,Michigan?1,"April 20, 1952","January 3, 2011","January 3, 2017",,,1,,,,0,3
,Rich Nugent,R,Florida?11,"May 26, 1951","January 3, 2011","January 3, 2017",,,1,,,,0,3
,Richard L. Hanna,R,New York?22,"November 4, 1971","January 3, 2011","January 3, 2017",,,1,,,,0,3
,Tim Walz,D,Minnesota?1,"April 6, 1964","January 3, 2011","January 3, 2019",,,1,,,,0,3
,Bill Flores,R,Texas?17,"February 25, 1954","January 3, 2011","January 3, 2021",,,1,,,,0,3
,Rob Woodall,R,Georgia?7,"February 11, 1970","January 3, 2011","January 3, 2021",,,1,,,,0,3
,Martha Roby,R,Alabama?2,"July 26, 1976","January 3, 2011","January 3, 2021",,,1,,,,0,3
,Justin Amash,R,Michigan?3,"April 18, 1980","January 3, 2011","January 3, 2021",,,1,,,,0,3
137,Bob Gibbs,R,Ohio?7,"June 14, 1954","January 3, 2011",,,,1,,,,0,3
147,Adam Kinzinger,R,Illinois?16,"February 27, 1978","January 3, 2011",,,,1,,,,0,3
,Tom Marino,R,Pennsylvania?12,"August 13, 1952","January 3, 2011","January 23, 2019",,1,,,,,0,2
,Sean Duffy,R,Wisconsin?7,"October 3, 1971","January 3, 2011","September 23, 2019",,1,,,,,0,2
151,Cedric Richmond,D,Louisiana?2,"September 13, 1973","January 3, 2011","January 15, 2021",,1,,,,,0,2
155,Steve Stivers,R,Ohio?15,"March 24, 1965","January 3, 2011","May 16, 2021",,1,,,,,0,2
,Alan Nunnelee,R,Mississippi?1,"October 9, 1958","January 3, 2011","February 6, 2015",1,,,,,,0,1
157,Frederica Wilson,D,Florida?24,"November 5, 1942","January 3, 2011",,,,,,,,1,0
146,Mike Kelly,R,Pennsylvania?16,"May 10, 1948","January 3, 2011",,,,,,,,1,0
156,Daniel Webster,R,Florida?11,"April 27, 1949","January 3, 2011",,,,,,,,1,0
126,Tim Walberg,R,Michigan?7,"April 12, 1951","January 3, 2011",,,,,,,,1,0
145,Bill Keating,D,Massachusetts?9,"September 6, 1952","January 3, 2011",,,,,,,,1,0
144,Bill Johnson,R,Ohio?6,"November 10, 1954","January 3, 2011",,,,,,,,1,0
140,Andy Harris,R,Maryland?1,"January 25, 1957","January 3, 2011",,,,,,,,1,0
158,Steve Womack,R,Arkansas?3,"February 18, 1957","January 3, 2011",,,,,,,,1,0
139,Morgan Griffith,R,Virginia?9,"March 15, 1958","January 3, 2011",,,,,,,,1,0
138,Paul Gosar,R,Arizona?4,"November 27, 1958","January 3, 2011",,,,,,,,1,0
132,David Cicilline,D,Rhode Island?1,"July 15, 1961","January 3, 2011",,,,,,,,1,0
152,David Schweikert,R,Arizona?6,"March 3, 1962","January 3, 2011",,,,,,,,1,0
131,Larry Bucshon,R,Indiana?8,"May 31, 1962","January 3, 2011",,,,,,,,1,0
136,Chuck Fleischmann,R,Tennessee?3,"October 11, 1962","January 3, 2011",,,,,,,,1,0
134,Scott DesJarlais,R,Tennessee?4,"February 21, 1964","January 3, 2011",,,,,,,,1,0
154,Terri Sewell,D,Alabama?7,"January 1, 1965","January 3, 2011",,,,,,,,1,0
135,Jeff Duncan,R,South Carolina?3,"January 7, 1966","January 3, 2011",,,,,,,,1,0
133,Rick Crawford,R,Arkansas?1,"January 22, 1966","January 3, 2011",,,,,,,,1,0
143,Bill Huizenga,R,Michigan?2,"January 31, 1969","January 3, 2011",,,,,,,,1,0
153,Austin Scott,R,Georgia?8,"December 10, 1969","January 3, 2011",,,,,,,,1,0
,Janice Hahn,D,California?44,"March 30, 1952","July 12, 2011","December 4, 2016",,,,1,,,0,4
159,Mark Amodei,R,Nevada?2,"June 12, 1958","September 13, 2011",,,,,,,,1,0
160,Suzanne Bonamici,D,Oregon?1,"October 14, 1954","January 31, 2012",,,,,,,,1,0
,Ron Barber,D,Arizona?2,"August 25, 1945","June 12, 2012","January 3, 2015",,,,,,1,0,6
163,Donald Payne Jr.,D,New Jersey?10,"December 17, 1958","November 6, 2012",,,,,,,,1,0
161,Suzan DelBene,D,Washington?1,"February 17, 1962","November 6, 2012",,,,,,,,1,0
162,Thomas Massie,R,Kentucky?4,"January 13, 1971","November 6, 2012",,,,,,,,1,0
,Dan Maffei,D,New York?24,"July 4, 1968","January 3, 2013","January 3, 2015",,,,,,1,0,6
,Joe Garcia,D,Florida?26,"October 12, 1963","January 3, 2013","January 3, 2015",,,,,,1,0,6
,Pete Gallego,D,Texas?23,"December 2, 1961","January 3, 2013","January 3, 2015",,,,,,1,0,6
,William Enyart,D,Illinois?12,"September 22, 1949","January 3, 2013","January 3, 2015",,,,,,1,0,6
184,Sean Patrick Maloney,D,New York?18,"July 30, 1966","January 3, 2013",,,,,,,1,0,6
,Kerry Bentivolio,R,Michigan?11,"October 6, 1951","January 3, 2013","January 3, 2015",,,,,1,,0,5
190,Tom Rice,R,South Carolina?7,"August 4, 1957","January 3, 2013",,,,,,1,,0,5
173,Rodney Davis,R,Illinois?13,"January 5, 1970","January 3, 2013",,,,,,1,,0,5
,Steve Daines,R,Montana AL,"August 21, 1962","January 3, 2013","January 3, 2015",,,,1,,,0,4
,Tom Cotton,R,Arkansas?4,"May 13, 1977","January 3, 2013","January 3, 2015",,,,1,,,0,4
,Steve Stockman,R,Texas?36,"November 14, 1956","January 3, 2013","January 3, 2015",,,,1,,,0,4
,Gloria Negrete McLeod,D,California?35,"September 6, 1941","January 3, 2013","January 3, 2015",,,,1,,,0,4
,Tammy Duckworth,D,Illinois?8,"March 12, 1968","January 3, 2013","January 3, 2017",,,,1,,,0,4
,Patrick Murphy,D,Florida?18,"October 19, 1973","January 3, 2013","January 3, 2017",,,,1,,,0,4
,Alan Grayson,D,Florida?9,"March 13, 1958","January 3, 2013","January 3, 2017",,,,1,,,0,4
,Mark Meadows,R,North Carolina?11,"July 28, 1959","January 3, 2013","March 30, 2020",,,,1,,,0,4
,Paul Cook,R,California?8,"March 3, 1943","January 3, 2013","December 7, 2020",,,,1,,,0,4
,Denny Heck,D,Washington?10,"July 29, 1952","January 3, 2013","January 3, 2021",,,,1,,,0,4
,Doug Collins,R,Georgia?9,"August 16, 1966","January 3, 2013","January 3, 2021",,,,1,,,0,4
,Joe Kennedy III,D,Massachusetts?4,"October 4, 1980","January 3, 2013","January 3, 2021",,,,1,,,0,4
,Tulsi Gabbard,D,Hawaii?2,"April 12, 1981","January 3, 2013","January 3, 2021",,,,1,,,0,4
186,Markwayne Mullin,R,Oklahoma?2,"July 26, 1977","January 3, 2013",,,,,1,,,0,4
,Matt Salmon,R,Arizona?5,"January 21, 1958","January 3, 2013","January 3, 2017",,,1,,,,0,3
,Rick Nolan,D,Minnesota?8,"December 17, 1943","January 3, 2013","January 3, 2019",,,1,,,,0,3
,Susan Brooks,R,Indiana?5,"August 25, 1960","January 3, 2013","January 3, 2021",,,1,,,,0,3
,George Holding,R,North Carolina?2,"April 17, 1968","January 3, 2013","January 3, 2021",,,1,,,,0,3
,Ted Yoho,R,Florida?3,"April 13, 1955","January 3, 2013","January 3, 2021",,,1,,,,0,3
183,Alan Lowenthal,D,California?47,"March 8, 1941","January 3, 2013",,,,1,,,,0,3
169,Cheri Bustos,D,Illinois?17,"October 17, 1961","January 3, 2013",,,,1,,,,0,3
,Trey Radel,R,Florida?19,"April 20, 1976","January 3, 2013","January 27, 2014",,1,,,,,0,2
,Chris Collins,R,New York?27,"May 20, 1950","January 3, 2013","October 1, 2019",,1,,,,,0,2
197,Filemon Vela Jr.,D,Texas?34,"February 13, 1963","January 3, 2013","April 1, 2022",,1,,,,,0,2
199,Jackie Walorski,R,Indiana?2,"August 17, 1963","January 3, 2013","August 3, 2022",,1,,,,,0,2
174,Lois Frankel,D,Florida?21,"May 16, 1948","January 3, 2013",,,,,,,,1,0
202,Roger Williams,R,Texas?25,"September 13, 1949","January 3, 2013",,,,,,,,1,0
166,Joyce Beatty,D,Ohio?3,"March 12, 1950","January 3, 2013",,,,,,,,1,0
164,Dina Titus,D,Nevada?1,"May 23, 1950","January 3, 2013",,,,,,,,1,0
168,Julia Brownley,D,California?26,"August 28, 1952","January 3, 2013",,,,,,,,1,0
200,Randy Weber,R,Texas?14,"July 2, 1953","January 3, 2013",,,,,,,,1,0
127,Bill Foster,D,Illinois?11,"October 7, 1955","January 3, 2013",,,,,,,,1,0
181,Annie Kuster,D,New Hampshire?2,"September 5, 1956","January 3, 2013",,,,,,,,1,0
178,David Joyce,R,Ohio?14,"March 17, 1957","January 3, 2013",,,,,,,,1,0
188,Scott Peters,D,California?52,"June 17, 1958","January 3, 2013",,,,,,,,1,0
201,Brad Wenstrup,R,Ohio?2,"June 17, 1958","January 3, 2013",,,,,,,,1,0
179,Dan Kildee,D,Michigan?5,"August 11, 1958","January 3, 2013",,,,,,,,1,0
182,Doug LaMalfa,R,California?1,"July 2, 1960","January 3, 2013",,,,,,,,1,0
192,Chris Stewart,R,Utah?2,"July 15, 1960","January 3, 2013",,,,,,,,1,0
194,Mark Takano,D,California?41,"December 10, 1960","January 3, 2013",,,,,,,,1,0
195,Juan Vargas,D,California?51,"March 7, 1961","January 3, 2013",,,,,,,,1,0
171,Matt Cartwright,D,Pennsylvania?8,"May 1, 1961","January 3, 2013",,,,,,,,1,0
187,Scott Perry,R,Pennsylvania?10,"May 27, 1962","January 3, 2013",,,,,,,,1,0
198,Ann Wagner,R,Missouri?2,"September 13, 1962","January 3, 2013",,,,,,,,1,0
170,Tony C?rdenas,D,California?29,"March 31, 1963","January 3, 2013",,,,,,,,1,0
176,Jared Huffman,D,California?2,"February 18, 1964","January 3, 2013",,,,,,,,1,0
189,Mark Pocan,D,Wisconsin?2,"August 14, 1964","January 3, 2013",,,,,,,,1,0
167,Ami Bera,D,California?7,"March 2, 1965","January 3, 2013",,,,,,,,1,0
177,Hakeem Jeffries,D,New York?8,"August 4, 1970","January 3, 2013",,,,,,,,1,0
196,Marc Veasey,D,Texas?33,"January 3, 1971","January 3, 2013",,,,,,,,1,0
175,Richard Hudson,R,North Carolina?8,"November 4, 1971","January 3, 2013",,,,,,,,1,0
191,Raul Ruiz,D,California?36,"August 25, 1972","January 3, 2013",,,,,,,,1,0
165,Andy Barr,R,Kentucky?6,"July 24, 1973","January 3, 2013",,,,,,,,1,0
180,Derek Kilmer,D,Washington?6,"January 1, 1974","January 3, 2013",,,,,,,,1,0
172,Joaquin Castro,D,Texas?20,"September 16, 1974","January 3, 2013",,,,,,,,1,0
185,Grace Meng,D,New York?6,"October 1, 1975","January 3, 2013",,,,,,,,1,0
193,Eric Swalwell,D,California?15,"November 16, 1980","January 3, 2013",,,,,,,,1,0
203,Robin Kelly,D,Illinois?2,"April 30, 1956","April 9, 2013",,,,,,,,1,0
,Mark Sanford,R,South Carolina?1,"May 28, 1960","May 7, 2013","January 3, 2019",,,,,1,,0,5
204,Jason Smith,R,Missouri?8,"June 16, 1980","June 4, 2013",,,,,,,,1,0
,Vance McAllister,R,Louisiana?5,"January 7, 1974","November 16, 2013","January 3, 2015",,,,,1,,0,5
205,Katherine Clark,D,Massachusetts?5,"July 17, 1963","December 10, 2013",,,,,,,,1,0
,Bradley Byrne,R,Alabama?1,"February 16, 1955","December 17, 2013","January 3, 2021",,,,1,,,0,4
,David Jolly,R,Florida?13,"October 31, 1972","March 11, 2014","January 3, 2017",,,,,,1,0,6
,Curt Clawson,R,Florida?19,"September 28, 1959","June 24, 2014","January 3, 2017",,,1,,,,0,3
206,Alma Adams,D,North Carolina?12,"May 27, 1946","November 4, 2014",,,,,,,,1,0
207,Donald Norcross,D,New Jersey?1,"December 13, 1958","November 4, 2014",,,,,,,,1,0
,Frank Guinta,R,New Hampshire?1,"September 26, 1970","January 3, 2015","January 3, 2017",,,,,,1,0,6
,Bob Dold,R,Illinois?10,"June 23, 1969","January 3, 2015","January 3, 2017",,,,,,1,0,6
,Cresent Hardy,R,Nevada?4,"June 23, 1957","January 3, 2015","January 3, 2017",,,,,,1,0,6
,Brad Ashford,D,Nebraska?2,"November 10, 1949","January 3, 2015","January 3, 2017",,,,,,1,0,6
,John Ratcliffe,R,Texas?4,"October 20, 1965","January 3, 2015","May 22, 2020",,,,1,,,0,4
224,Jody Hice,R,Georgia?10,"April 22, 1960","January 3, 2015",,,,,1,,,0,4
241,Lee Zeldin,R,New York?1,"January 30, 1980","January 3, 2015",,,,,1,,,0,4
,Gwen Graham,D,Florida?2,"January 31, 1963","January 3, 2015","January 3, 2017",,,1,,,,0,3
,Ralph Abraham,R,Louisiana?5,"September 16, 1954","January 3, 2015","January 3, 2021",,,1,,,,0,3
,Mark Walker,R,North Carolina?6,"May 20, 1969","January 3, 2015","January 3, 2021",,,1,,,,0,3
,Will Hurd,R,Texas?23,"August 19, 1977","January 3, 2015","January 3, 2021",,,1,,,,0,3
227,Brenda Lawrence,D,Michigan?14,"October 18, 1954","January 3, 2015",,,,1,,,,0,3
226,John Katko,R,New York?24,"November 9, 1962","January 3, 2015",,,,1,,,,0,3
235,Kathleen Rice,D,New York?4,"February 15, 1965","January 3, 2015",,,,1,,,,0,3
,Mark Takai,D,Hawaii?1,"July 1, 1967","January 3, 2015","July 20, 2016",1,,,,,,0,1
239,Bonnie Watson Coleman,D,New Jersey?12,"February 6, 1945","January 3, 2015",,,,,,,,1,0
212,Brian Babin,R,Texas?36,"March 23, 1948","January 3, 2015",,,,,,,,1,0
213,Don Beyer,D,Virginia?8,"June 20, 1950","January 3, 2015",,,,,,,,1,0
211,Rick W. Allen,R,Georgia?12,"November 7, 1951","January 3, 2015",,,,,,,,1,0
218,Mark DeSaulnier,D,California?11,"March 31, 1952","January 3, 2015",,,,,,,,1,0
219,Debbie Dingell,D,Michigan?12,"November 23, 1953","January 3, 2015",,,,,,,,1,0
234,Gary Palmer,R,Alabama?6,"May 14, 1954","January 3, 2015",,,,,,,,1,0
223,Glenn Grothman,R,Wisconsin?6,"July 3, 1955","January 3, 2015",,,,,,,,1,0
233,Dan Newhouse,R,Washington?4,"July 10, 1955","January 3, 2015",,,,,,,,1,0
225,French Hill,R,Arkansas?2,"December 5, 1956","January 3, 2015",,,,,,,,1,0
217,Buddy Carter,R,Georgia?1,"September 6, 1957","January 3, 2015",,,,,,,,1,0
216,Ken Buck,R,Colorado?4,"February 16, 1959","January 3, 2015",,,,,,,,1,0
214,Mike Bost,R,Illinois?12,"December 30, 1960","January 3, 2015",,,,,,,,1,0
220,Tom Emmer,R,Minnesota?6,"March 3, 1961","January 3, 2015",,,,,,,,1,0
230,John Moolenaar,R,Michigan?4,"May 8, 1961","January 3, 2015",,,,,,,,1,0
229,Barry Loudermilk,R,Georgia?11,"December 22, 1963","January 3, 2015",,,,,,,,1,0
238,Norma Torres,D,California?35,"April 23, 1965","January 3, 2015",,,,,,,,1,0
240,Bruce Westerman,R,Arkansas?4,"November 18, 1967","January 3, 2015",,,,,,,,1,0
228,Ted Lieu,D,California?33,"March 29, 1969","January 3, 2015",,,,,,,,1,0
231,Alex Mooney,R,West Virginia?2,"June 7, 1971","January 3, 2015",,,,,,,,1,0
222,Garret Graves,R,Louisiana?6,"January 31, 1972","January 3, 2015",,,,,,,,1,0
236,David Rouzer,R,North Carolina?7,"February 16, 1972","January 3, 2015",,,,,,,,1,0
215,Brendan Boyle,D,Pennsylvania?2,"February 6, 1977","January 3, 2015",,,,,,,,1,0
232,Seth Moulton,D,Massachusetts?6,"October 24, 1978","January 3, 2015",,,,,,,,1,0
210,Pete Aguilar,D,California?31,"June 19, 1979","January 3, 2015",,,,,,,,1,0
221,Ruben Gallego,D,Arizona?7,"November 20, 1979","January 3, 2015",,,,,,,,1,0
237,Elise Stefanik,R,New York?21,"July 2, 1984","January 3, 2015",,,,,,,,1,0
,Scott Taylor,R,Virginia?2,"June 27, 1979","May 5, 2015","January 3, 2019",,,,,,1,0,6
,Dan Donovan,R,New York?11,"November 6, 1956","May 5, 2015","January 3, 2019",,,,,,1,0,6
,Jason Lewis,R,Minnesota?2,"September 23, 1955","May 5, 2015","January 3, 2019",,,,,,1,0,6
,John Faso,R,New York?19,"August 25, 1952","May 5, 2015","January 3, 2019",,,,,,1,0,6
,Jacky Rosen,D,Nevada?3,"August 2, 1957","May 5, 2015","January 3, 2019",,,,1,,,0,4
,Tom Garrett,R,Virginia?5,"March 27, 1972","May 5, 2015","January 3, 2019",,,,1,,,0,4
,Ruben Kihuen,D,Nevada?4,"April 25, 1980","May 5, 2015","January 3, 2019",,,1,,,,0,3
242,Trent Kelly,R,Mississippi?1,"March 1, 1966","June 2, 2015",,,,,,,,1,0
243,Darin LaHood,R,Illinois?18,"July 5, 1968","September 10, 2015",,,,,,,,1,0
244,Warren Davidson,R,Ohio?8,"March 1, 1970","June 7, 2016",,,,,,,,1,0
,Colleen Hanabusa,D,Hawaii?1,"May 4, 1951","November 8, 2016","January 3, 2019",,,,1,,,0,4
246,Dwight Evans,D,Pennsylvania?3,"May 16, 1954","November 8, 2016",,,,,,,,1,0
245,James Comer,R,Kentucky?1,"August 19, 1972","November 8, 2016",,,,,,,,1,0
,Carlos Curbelo,R,Florida?26,"March 1, 1980","January 3, 2017","January 3, 2019",,,,,,1,0,6
,Mia Love,R,Utah?4,"December 6, 1975","January 3, 2017","January 3, 2019",,,,,,1,0,6
,David Young,R,Iowa?3,"May 11, 1968","January 3, 2017","January 3, 2019",,,,,,1,0,6
