Rank,Representative,Party,District,Birth Date,Seniority Date,End Date,Death,Midterm Resign,Retired,Other Office,Defeated In Primary,Defeated In General,Reelected,Status
,Mike Bishop,R,Michigan?8,"March 18, 1967","January 3, 2017","January 3, 2019",,,,,,1,0,6
,Steve Knight,R,California?25,"December 17, 1966","January 3, 2017","January 3, 2019",,,,,,1,0,6
,Dave Brat,R,Virginia?7,"July 27, 1964","January 3, 2017","January 3, 2019",,,,,,1,0,6
,Steve Russell,R,Oklahoma?5,"May 25, 1963","January 3, 2017","January 3, 2019",,,,,,1,0,6
,Mimi Walters,R,California?45,"May 14, 1962","January 3, 2017","January 3, 2019",,,,,,1,0,6
,Keith Rothfus,R,Pennsylvania?12,"April 25, 1962","January 3, 2017","January 3, 2019",,,,,,1,0,6
,Tom MacArthur,R,New Jersey?3,"October 16, 1960","January 3, 2017","January 3, 2019",,,,,,1,0,6
,Barbara Comstock,R,Virginia?10,"June 30, 1959","January 3, 2017","January 3, 2019",,,,,,1,0,6
,Rod Blum,R,Iowa?1,"April 26, 1955","January 3, 2017","January 3, 2019",,,,,,1,0,6
,Bruce Poliquin,R,Maine?2,"November 1, 1953","January 3, 2017","January 3, 2019",,,,,,1,0,6
282,Tom O'Halleran,D,Arizona?1,"January 24, 1946","January 3, 2017",,,,,,,1,0,6
278,Al Lawson,D,Florida?5,"September 23, 1948","January 3, 2017",,,,,,,1,0,6
,Robert Pittenger,R,North Carolina?9,"August 15, 1948","January 3, 2017","January 3, 2019",,,,,1,,0,5
259,Liz Cheney,R,Wyoming?AL,"July 28, 1966","January 3, 2017",,,,,,1,,0,5
,Ryan Zinke,R,Montana?AL,"November 1, 1961","January 3, 2017","March 1, 2017",,,,1,,,0,4
,Jim Bridenstine,R,Oklahoma?1,"June 15, 1975","January 3, 2017","April 23, 2018",,,,1,,,0,4
,Ron DeSantis,R,Florida?6,"September 14, 1978","January 3, 2017","September 10, 2018",,,,1,,,0,4
,Evan Jenkins,R,West Virginia?3,"September 12, 1960","January 3, 2017","September 30, 2018",,,,1,,,0,4
,Kevin Cramer,R,North Dakota?AL,"January 21, 1961","January 3, 2017","January 3, 2019",,,,1,,,0,4
,Martha McSally,R,Arizona?2,"July 22, 1966","January 3, 2017","January 3, 2019",,,,1,,,0,4
,Kyrsten Sinema,D,Arizona?9,"December 7, 1976","January 3, 2017","January 3, 2019",,,,1,,,0,4
,Luke Messer,R,Indiana?6,"February 27, 1969","January 3, 2017","January 3, 2019",,,,1,,,0,4
,John Delaney,D,Maryland?6,"April 16, 1963","January 3, 2017","January 3, 2019",,,,1,,,0,4
,Michelle Lujan Grisham,D,New Mexico?1,"October 24, 1959","January 3, 2017","January 3, 2019",,,,1,,,0,4
,Roger Marshall,R,Kansas?1,"August 9, 1960","January 3, 2017","January 3, 2021",,,,1,,,0,4
262,Val Demings,D,Florida?10,"March 12, 1957","January 3, 2017",,,,,1,,,0,4
256,Anthony Brown,D,Maryland?4,"November 21, 1961","January 3, 2017",,,,,1,,,0,4
288,Thomas Suozzi,D,New York?3,"August 31, 1962","January 3, 2017",,,,,1,,,0,4
257,Ted Budd,R,North Carolina?13,"October 21, 1971","January 3, 2017",,,,,1,,,0,4
,Ryan Costello,R,Pennsylvania?6,"September 7, 1976","January 3, 2017","January 3, 2019",,,1,,,,0,3
,Beto O'Rourke,D,Texas?16,"September 26, 1972","January 3, 2017","January 3, 2019",,,1,,,,0,3
,Dave Trott,R,Michigan?11,"October 16, 1960","January 3, 2017","January 3, 2019",,,1,,,,0,3
,Elizabeth Esty,D,Connecticut?5,"August 25, 1959","January 3, 2017","January 3, 2019",,,1,,,,0,3
,Carol Shea-Porter,D,New Hampshire?1,"December 2, 1952","January 3, 2017","January 3, 2019",,,1,,,,0,3
,Francis Rooney,R,Florida?19,"December 4, 1953","January 3, 2017","January 3, 2021",,,1,,,,0,3
,Paul Mitchell,R,Michigan?10,"November 14, 1956","January 3, 2017","January 3, 2021",,,1,,,,0,3
281,Stephanie Murphy,D,Florida?7,"September 16, 1978","January 3, 2017",,,,1,,,,0,3
272,Trey Hollingsworth,R,Indiana?9,"September 12, 1983","January 3, 2017",,,,1,,,,0,3
261,Charlie Crist,D,Florida?13,"July 24, 1956","January 3, 2017","August 31, 2022",,1,,,,,0,2
253,Jack Bergman,R,Michigan?1,"February 2, 1947","January 3, 2017",,,,,,,,1,0
285,John Rutherford,R,Florida?4,"September 2, 1952","January 3, 2017",,,,,,,,1,0
263,Neal Dunn,R,Florida?2,"February 16, 1953","January 3, 2017",,,,,,,,1,0
264,Adriano Espaillat,D,New York?13,"September 27, 1954","January 3, 2017",,,,,,,,1,0
260,Lou Correa,D,California?46,"January 24, 1958","January 3, 2017",,,,,,,,1,0
254,Andy Biggs,R,Arizona?5,"November 7, 1958","January 3, 2017",,,,,,,,1,0
247,Brad Schneider,D,Illinois?10,"August 20, 1961","January 3, 2017",,,,,,,,1,0
271,Clay Higgins,R,Louisiana?3,"August 24, 1961","January 3, 2017",,,,,,,,1,0
280,Donald McEachin,D,Virginia?4,"October 10, 1961","January 3, 2017",,,,,,,,1,0
255,Lisa Blunt Rochester,D,Delaware?AL,"February 10, 1962","January 3, 2017",,,,,,,,1,0
284,Jamie Raskin,D,Maryland?8,"December 13, 1962","January 3, 2017",,,,,,,,1,0
250,Don Bacon,R,Nebraska?2,"August 16, 1963","January 3, 2017",,,,,,,,1,0
286,Lloyd Smucker,R,Pennsylvania?11,"January 23, 1964","January 3, 2017",,,,,,,,1,0
258,Salud Carbajal,D,California?24,"November 18, 1964","January 3, 2017",,,,,,,,1,0
273,Pramila Jayapal,D,Washington?7,"September 21, 1965","January 3, 2017",,,,,,,,1,0
277,David Kustoff,R,Tennessee?8,"October 8, 1966","January 3, 2017",,,,,,,,1,0
265,Drew Ferguson,R,Georgia?3,"November 15, 1966","January 3, 2017",,,,,,,,1,0
269,Vicente Gonzalez,D,Texas?15,"September 4, 1967","January 3, 2017",,,,,,,,1,0
283,Jimmy Panetta,D,California?20,"October 1, 1969","January 3, 2017",,,,,,,,1,0
274,Mike Johnson,R,Louisiana?4,"January 30, 1972","January 3, 2017",,,,,,,,1,0
249,Jodey Arrington,R,Texas?19,"March 9, 1972","January 3, 2017",,,,,,,,1,0
276,Raja Krishnamoorthi,D,Illinois?8,"July 19, 1973","January 3, 2017",,,,,,,,1,0
266,Brian Fitzpatrick,R,Pennsylvania?1,"December 17, 1973","January 3, 2017",,,,,,,,1,0
270,Josh Gottheimer,D,New Jersey?5,"March 8, 1975","January 3, 2017",,,,,,,,1,0
275,Ro Khanna,D,California?17,"September 13, 1976","January 3, 2017",,,,,,,,1,0
252,Nanette Barrag?n,D,California?44,"September 15, 1976","January 3, 2017",,,,,,,,1,0
287,Darren Soto,D,Florida?9,"February 25, 1978","January 3, 2017",,,,,,,,1,0
251,Jim Banks,R,Indiana?3,"July 16, 1979","January 3, 2017",,,,,,,,1,0
279,Brian Mast,R,Florida?18,"July 10, 1980","January 3, 2017",,,,,,,,1,0
267,Matt Gaetz,R,Florida?1,"May 7, 1982","January 3, 2017",,,,,,,,1,0
268,Mike Gallagher,R,Wisconsin?8,"March 3, 1984","January 3, 2017",,,,,,,,1,0
289,Ron Estes,R,Kansas?4,"July 19, 1956","April 11, 2017",,,,,,,,1,0
290,Jimmy Gomez,D,California?34,"November 25, 1974","June 6, 2017",,,,,,,,1,0
,Karen Handel,R,Georgia?6,"April 18, 1962","June 20, 2017","January 3, 2019",,,,,,1,0,6
,Brenda Jones,D,Michigan?13,"October 24, 1959","June 20, 2017","January 3, 2019",,,,,,1,0,6
291,Ralph Norman,R,South Carolina?5,"June 20, 1953","June 20, 2017",,,,,,,,1,0
,Greg Gianforte,R,Montana?AL,"April 17, 1961","June 21, 2017","January 3, 2021",,,,1,,,0,4
292,John Curtis,R,Utah?3,"May 10, 1960","November 7, 2017",,,,,,,,1,0
293,Conor Lamb,D,Pennsylvania?17,"June 27, 1984","March 13, 2018",,,,,1,,,0,4
294,Debbie Lesko,R,Arizona?8,"November 14, 1958","April 24, 2018",,,,,,,,1,0
295,Michael Cloud,R,Texas?27,"May 13, 1975","June 30, 2018",,,,,,,,1,0
296,Troy Balderson,R,Ohio?12,"January 16, 1962","August 7, 2018",,,,,,,,1,0
298,Joseph Morelle,D,New York?25,"April 29, 1957","November 6, 2018",,,,,,,,1,0
300,Susan Wild,D,Pennsylvania?7,"June 7, 1957","November 6, 2018",,,,,,,,1,0
299,Mary Gay Scanlon,D,Pennsylvania?5,"August 30, 1959","November 6, 2018",,,,,,,,1,0
297,Kevin Hern,R,Oklahoma?1,"December 4, 1961","November 6, 2018",,,,,,,,1,0
,Donna Shalala,D,Florida?27,"February 14, 1941","January 3, 2019","January 3, 2021",,,,,,1,0,6
,Harley Rouda,D,California?48,"December 10, 1961","January 3, 2019","January 3, 2021",,,,,,1,0,6
,TJ Cox,D,California?21,"July 18, 1963","January 3, 2019","January 3, 2021",,,,,,1,0,6
,Debbie Mucarsel-Powell,D,Florida?26,"January 18, 1971","January 3, 2019","January 3, 2021",,,,,,1,0,6
,Gil Cisneros,D,California?39,"February 12, 1971","January 3, 2019","January 3, 2021",,,,,,1,0,6
,Ben McAdams,D,Utah?4,"December 5, 1974","January 3, 2019","January 3, 2021",,,,,,1,0,6
,Kendra Horn,D,Oklahoma?5,"June 9, 1976","January 3, 2019","January 3, 2021",,,,,,1,0,6
,Anthony Brindisi,D,New York?22,"November 22, 1978","January 3, 2019","January 3, 2021",,,,,,1,0,6
,Xochitl Torres Small,D,New Mexico?2,"November 15, 1984","January 3, 2019","January 3, 2021",,,,,,1,0,6
,Max Rose,D,New York?11,"November 28, 1986","January 3, 2019","January 3, 2021",,,,,,1,0,6
,Abby Finkenauer,D,Iowa?1,"December 27, 1988","January 3, 2019","January 3, 2021",,,,,,1,0,6
,Joe Cunningham,D,South Carolina?1,"May 26, 1982","January 3, 2019","January 3, 2021",,,,,,1,0,6
304,Cindy Axne,D,Iowa?3,"April 20, 1965","January 3, 2019",,,,,,,1,0,6
337,Tom Malinowski,D,New Jersey?7,"September 15, 1965","January 3, 2019",,,,,,,1,0,6
336,Elaine Luria,D,Virginia?2,"August 15, 1975","January 3, 2019",,,,,,,1,0,6
,Ross Spano,R,Florida?15,"July 16, 1966","January 3, 2019","January 3, 2021",,,,,1,,0,5
,Denver Riggleman,R,Virginia?5,"March 17, 1970","January 3, 2019","January 3, 2021",,,,,1,,0,5
,Steve Watkins,R,Kansas?2,"September 18, 1978","January 3, 2019","January 3, 2021",,,,,1,,0,5
334,Andy Levin,D,Michigan?9,"August 10, 1960","January 3, 2019",,,,,,1,,0,5
208,Ann Kirkpatrick,D,Arizona?2,"March 24, 1950","January 3, 2019",,,,1,,,,0,3
361,Van Taylor,R,Texas?3,"August 1, 1972","January 3, 2019",,,,1,,,,0,3
321,Anthony Gonzalez,R,Ohio?16,"September 18, 1984","January 3, 2019",,,,1,,,,0,3
,Katie Hill,D,California?25,"August 25, 1987","January 3, 2019","November 3, 2019",,1,,,,,0,2
370,Ron Wright,R,Texas?6,"April 8, 1953","January 3, 2019","February 7, 2021",,1,,,,,0,2
325,Deb Haaland,D,New Mexico?1,"December 2, 1960","January 3, 2019","March 16, 2021",,1,,,,,0,2
326,Jim Hagedorn,R,Minnesota?1,"August 4, 1962","January 3, 2019","February 17, 2022",,1,,,,,0,2
314,Antonio Delgado,D,New York?19,"January 28, 1977","January 3, 2019","May 25, 2022",,1,,,,,0,2
305,Jim Baird,R,Indiana?4,"June 4, 1945","January 3, 2019",,,,,,,,1,0
319,Sylvia Garcia,D,Texas?29,"September 6, 1950","January 3, 2019",,,,,,,,1,0
340,Carol Miller,R,West Virginia?3,"November 4, 1950","January 3, 2019",,,,,,,,1,0
209,Ed Case,D,Hawaii?1,"September 27, 1952","January 3, 2019",,,,,,,,1,0
367,Jeff Van Drew,R,New Jersey?2,"February 23, 1953","January 3, 2019",,,,,,,,1,0
365,David Trone,D,Maryland?6,"September 21, 1955","January 3, 2019",,,,,,,,1,0
318,Chuy Garc?a,D,Illinois?4,"April 12, 1956","January 3, 2019",,,,,,,,1,0
345,Greg Pence,R,Indiana?6,"November 14, 1956","January 3, 2019",,,,,,,,1,0
331,John Joyce,R,Pennsylvania?13,"February 8, 1957","January 3, 2019",,,,,,,,1,0
313,Madeleine Dean,D,Pennsylvania?4,"June 6, 1959","January 3, 2019",,,,,,,,1,0
338,Lucy McBath,D,Georgia?6,"June 1, 1960","January 3, 2019",,,,,,,,1,0
317,Russ Fulcher,R,Idaho?1,"March 9, 1962","January 3, 2019",,,,,,,,1,0
339,Dan Meuser,R,Pennsylvania?9,"February 10, 1964","January 3, 2019",,,,,,,,1,0
306,Tim Burchett,R,Tennessee?2,"August 25, 1964","January 3, 2019",,,,,,,,1,0
323,Mark Green,R,Tennessee?7,"November 8, 1964","January 3, 2019",,,,,,,,1,0
350,John Rose,R,Tennessee?6,"February 23, 1965","January 3, 2019",,,,,,,,1,0
357,Pete Stauber,R,Minnesota?8,"May 10, 1966","January 3, 2019",,,,,,,,1,0
333,Susie Lee,D,Nevada?3,"November 7, 1966","January 3, 2019",,,,,,,,1,0
329,Chrissy Houlahan,D,Pennsylvania?6,"June 5, 1967","January 3, 2019",,,,,,,,1,0
369,Jennifer Wexton,D,Virginia?10,"May 27, 1968","January 3, 2019",,,,,,,,1,0
352,Kim Schrier,D,Washington?8,"August 23, 1968","January 3, 2019",,,,,,,,1,0
346,Dean Phillips,D,Minnesota?3,"January 20, 1969","January 3, 2019",,,,,,,,1,0
315,Veronica Escobar,D,Texas?16,"September 15, 1969","January 3, 2019",,,,,,,,1,0
324,Michael Guest,R,Mississippi?3,"February 4, 1970","January 3, 2019",,,,,,,,1,0
356,Greg Stanton,D,Arizona?9,"March 8, 1970","January 3, 2019",,,,,,,,1,0
307,Sean Casten,D,Illinois?6,"November 23, 1971","January 3, 2019",,,,,,,,1,0
353,Mikie Sherrill,D,New Jersey?11,"January 19, 1972","January 3, 2019",,,,,,,,1,0
309,Angie Craig,D,Minnesota?2,"February 14, 1972","January 3, 2019",,,,,,,,1,0
308,Ben Cline,R,Virginia?6,"February 29, 1972","January 3, 2019",,,,,,,,1,0
351,Chip Roy,R,Texas?21,"August 7, 1972","January 3, 2019",,,,,,,,1,0
328,Jahana Hayes,D,Connecticut?5,"March 8, 1973","January 3, 2019",,,,,,,,1,0
301,Steven Horsford,D,Nevada?4,"April 29, 1973","January 3, 2019",,,,,,,,1,0
364,Lori Trahan,D,Massachusetts?3,"October 27, 1973","January 3, 2019",,,,,,,,1,0
347,Katie Porter,D,California?45,"January 3, 1974","January 3, 2019",,,,,,,,1,0
368,Michael Waltz,R,Florida?6,"January 31, 1974","January 3, 2019",,,,,,,,1,0
348,Ayanna Pressley,D,Massachusetts?7,"February 3, 1974","January 3, 2019",,,,,,,,1,0
316,Lizzie Fletcher,D,Texas?7,"February 13, 1975","January 3, 2019",,,,,,,,1,0
354,Elissa Slotkin,D,Michigan?8,"July 10, 1976","January 3, 2019",,,,,,,,1,0
363,Rashida Tlaib,D,Michigan?13,"July 24, 1976","January 3, 2019",,,,,,,,1,0
330,Dusty Johnson,R,South Dakota?AL,"September 30, 1976","January 3, 2019",,,,,,,,1,0
303,Kelly Armstrong,R,North Dakota?AL,"October 8, 1976","January 3, 2019",,,,,,,,1,0
359,Greg Steube,R,Florida?17,"May 19, 1978","January 3, 2019",,,,,,,,1,0
335,Mike Levin,D,California?49,"October 20, 1978","January 3, 2019",,,,,,,,1,0
311,Jason Crow,D,Colorado?6,"March 15, 1979","January 3, 2019",,,,,,,,1,0
355,Abigail Spanberger,D,Virginia?7,"August 7, 1979","January 3, 2019",,,,,,,,1,0
312,Sharice Davids,D,Kansas?3,"May 22, 1980","January 3, 2019",,,,,,,,1,0
344,Chris Pappas,D,New Hampshire?1,"June 4, 1980","January 3, 2019",,,,,,,,1,0
358,Bryan Steil,R,Wisconsin?1,"March 3, 1981","January 3, 2019",,,,,,,,1,0
332,Andy Kim,D,New Jersey?3,"July 12, 1982","January 3, 2019",,,,,,,,1,0
320,Jared Golden,D,Maine?2,"July 25, 1982","January 3, 2019",,,,,,,,1,0
343,Ilhan Omar,D,Minnesota?5,"October 4, 1982","January 3, 2019",,,,,,,,1,0
322,Lance Gooden,R,Texas?5,"December 1, 1982","January 3, 2019",,,,,,,,1,0
302,Colin Allred,D,Texas?32,"April 15, 1983","January 3, 2019",,,,,,,,1,0
349,Guy Reschenthaler,R,Pennsylvania?14,"April 17, 1983","January 3, 2019",,,,,,,,1,0
360,Haley Stevens,D,Michigan?11,"June 24, 1983","January 3, 2019",,,,,,,,1,0
310,Dan Crenshaw,R,Texas?2,"March 14, 1984","January 3, 2019",,,,,,,,1,0
362,William Timmons,R,South Carolina?4,"April 30, 1984","January 3, 2019",,,,,,,,1,0
341,Joe Neguse,D,Colorado?2,"May 13, 1984","January 3, 2019",,,,,,,,1,0
327,Josh Harder,D,California?10,"August 1, 1986","January 3, 2019",,,,,,,,1,0
366,Lauren Underwood,D,Illinois?14,"October 4, 1986","January 3, 2019",,,,,,,,1,0
342,Alexandria Ocasio-Cortez,D,New York?14,"October 13, 1989","January 3, 2019",,,,,,,,1,0
371,Fred Keller,R,Pennsylvania?12,"October 23, 1965","May 21, 2019",,,,1,,,,0,3
373,Greg Murphy,R,North Carolina?3,"March 5, 1963","September 10, 2019",,,,,,,,1,0
372,Dan Bishop,R,North Carolina?9,"July 1, 1964","September 10, 2019",,,,,,,,1,0
128,Kweisi Mfume,D,Maryland?7,"October 24, 1948","April 28, 2020",,,,,,,,1,0
375,Tom Tiffany,R,Wisconsin?7,"December 30, 1957","May 12, 2020",,,,,,,,1,0
374,Mike Garcia,R,California?25,"April 24, 1976","May 12, 2020",,,,,,,,1,0
376,Chris Jacobs,R,New York?27,"November 28, 1966","June 23, 2020",,,,1,,,,0,3
,Kwanza Hall,D,Georgia?5,"May 1, 1971","December 1, 2020","January 3, 2021",,,,1,,,0,4
401,Yvette Herrell,R,New Mexico?2,"March 16, 1964","January 3, 2021",,,,,,,1,0,6
,Mayra Flores,R,Texas?34,"January 1, 1986","January 3, 2021",,,,,,,1,0,6
422,Marie Newman,D,Illinois?3,"April 13, 1964","January 3, 2021",,,,,,1,,0,5
382,Carolyn Bourdeaux,D,Georgia?7,"June 3, 1970","January 3, 2021",,,,,,1,,0,5
405,Mondaire Jones,D,New York?17,"May 18, 1987","January 3, 2021",,,,,,1,,0,5
415,Peter Meijer,R,Michigan?3,"January 10, 1988","January 3, 2021",,,,,,1,,0,5
387,Madison Cawthorn,R,North Carolina?11,"August 1, 1995","January 3, 2021",,,,,,1,,0,5
406,Kai Kahele,D,Hawaii?2,"March 28, 1974","January 3, 2021",,,,,1,,,0,4
424,Burgess Owens,R,Utah?4,"August 2, 1951","January 3, 2021",,,,,,,,1,0
379,Cliff Bentz,R,Oregon?2,"January 12, 1952","January 3, 2021",,,,,,,,1,0
396,Carlos Gim?nez,R,Florida?26,"January 17, 1954","January 3, 2021",,,,,,,,1,0
430,Michelle Steel,R,California?48,"June 21, 1955","January 3, 2021",,,,,,,,1,0
417,Mariannette Miller-Meeks,R,Iowa?2,"September 6, 1955","January 3, 2021",,,,,,,,1,0
413,Kathy Manning,D,North Carolina?6,"December 3, 1956","January 3, 2021",,,,,,,,1,0
386,Jerry Carl,R,Alabama?1,"June 17, 1958","January 3, 2021",,,,,,,,1,0
409,Teresa Leger Fernandez,D,New Mexico?3,"July 1, 1959","January 3, 2021",,,,,,,,1,0
416,Mary Miller,R,Illinois?15,"August 7, 1959","January 3, 2021",,,,,,,,1,0
400,Diana Harshbarger,R,Tennessee?1,"January 1, 1960","January 3, 2021",,,,,,,,1,0
426,Matt Rosendale,R,Montana?AL,"July 7, 1960","January 3, 2021",,,,,,,,1,0
428,Mar?a Elvira Salazar,R,Florida?27,"November 1, 1961","January 3, 2021",,,,,,,,1,0
431,Marilyn Strickland,D,Washington?10,"September 25, 1962","January 3, 2021",,,,,,,,1,0
407,Young Kim,R,California?39,"October 18, 1962","January 3, 2021",,,,,,,,1,0
427,Deborah Ross,D,North Carolina?2,"June 20, 1963","January 3, 2021",,,,,,,,1,0
393,Scott Fitzgerald,R,Wisconsin?5,"November 16, 1963","January 3, 2021",,,,,,,,1,0
388,Andrew Clyde,R,Georgia?9,"November 22, 1963","January 3, 2021",,,,,,,,1,0
394,Scott Franklin,R,Florida?15,"August 23, 1964","January 3, 2021",,,,,,,,1,0
398,Bob Good,R,Virginia?5,"September 11, 1965","January 3, 2021",,,,,,,,1,0
392,Michelle Fischbach,R,Minnesota?7,"November 3, 1965","January 3, 2021",,,,,,,,1,0
414,Lisa McClain,R,Michigan?10,"April 7, 1966","January 3, 2021",,,,,,,,1,0
418,Barry Moore,R,Alabama?2,"September 26, 1966","January 3, 2021",,,,,,,,1,0
403,Ronny Jackson,R,Texas?13,"May 4, 1967","January 3, 2021",,,,,,,,1,0
390,Pat Fallon,R,Texas?4,"December 19, 1967","January 3, 2021",,,,,,,,1,0
421,Troy Nehls,R,Texas?22,"April 7, 1968","January 3, 2021",,,,,,,,1,0
391,Randy Feenstra,R,Iowa?4,"January 14, 1969","January 3, 2021",,,,,,,,1,0
420,Frank Mrvan,D,Indiana?1,"April 16, 1969","January 3, 2021",,,,,,,,1,0
423,Jay Obernolte,R,California?8,"August 18, 1970","January 3, 2021",,,,,,,,1,0
433,Beth Van Duyne,R,Texas?24,"November 16, 1970","January 3, 2021",,,,,,,,1,0
380,Stephanie Bice,R,Oklahoma?5,"November 11, 1973","January 3, 2021",,,,,,,,1,0
399,Marjorie Taylor Greene,R,Georgia?14,"May 27, 1974","January 3, 2021",,,,,,,,1,0
383,Jamaal Bowman,D,New York?16,"April 1, 1976","January 3, 2021",,,,,,,,1,0
384,Cori Bush,D,Missouri?1,"July 21, 1976","January 3, 2021",,,,,,,,1,0
412,Tracey Mann,R,Kansas?1,"December 17, 1976","January 3, 2021",,,,,,,,1,0
248,David Valadao,R,California?21,"April 14, 1977","January 3, 2021",,,,,,,,1,0
410,Nancy Mace,R,South Carolina?1,"December 4, 1977","January 3, 2021",,,,,,,,1,0
425,August Pfluger,R,Texas?11,"December 28, 1977","January 3, 2021",,,,,,,,1,0
434,Nikema Williams,D,Georgia?5,"July 30, 1978","January 3, 2021",,,,,,,,1,0
429,Victoria Spartz,R,Indiana?5,"October 6, 1978","January 3, 2021",,,,,,,,1,0
389,Byron Donalds,R,Florida?19,"October 28, 1978","January 3, 2021",,,,,,,,1,0
419,Blake Moore,R,Utah?1,"June 22, 1980","January 3, 2021",,,,,,,,1,0
397,Tony Gonzales,R,Texas?23,"October 10, 1980","January 3, 2021",,,,,,,,1,0
411,Nicole Malliotakis,R,New York?11,"November 11, 1980","January 3, 2021",,,,,,,,1,0
402,Ashley Hinson,R,Iowa?1,"June 27, 1983","January 3, 2021",,,,,,,,1,0
395,Andrew Garbarino,R,New York?2,"September 27, 1984","January 3, 2021",,,,,,,,1,0
381,Lauren Boebert,R,Colorado?3,"December 19, 1986","January 3, 2021",,,,,,,,1,0
378,Jake Auchincloss,D,Massachusetts?4,"January 29, 1988","January 3, 2021",,,,,,,,1,0
385,Kat Cammack,R,Florida?3,"February 16, 1988","January 3, 2021",,,,,,,,1,0
408,Jake LaTurner,R,Kansas?2,"February 17, 1988","January 3, 2021",,,,,,,,1,0
432,Ritchie Torres,D,New York?15,"March 12, 1988","January 3, 2021",,,,,,,,1,0
404,Sara Jacobs,D,California?53,"February 1, 1989","January 3, 2021",,,,,,,,1,0
377,Claudia Tenney,R,New York?22,"February 4, 1961","February 11, 2021",,,,,,,,1,0
,Julia Letlow,R,Louisiana?5,"March 16, 1981","April 14, 2021",,,,,,,,1,0
,Troy Carter,D,Louisiana?2,"October 26, 1963","May 11, 2021",,,,,,,,1,0
,Melanie Stansbury,D,New Mexico?1,"January 31, 1979","June 14, 2021",,,,,,,,1,0
,Jake Ellzey,R,Texas?6,"January 24, 1970","July 30, 2021",,,,,,,,1,0
,Shontel Brown,D,Ohio?11,"June 24, 1975","November 4, 2021",,,,,,,,1,0
,Mike Carey,R,Ohio?15,"March 13, 1971","November 4, 2021",,,,,,,,1,0
,Sheila Cherfilus-McCormick,D,Florida?20,"January 25, 1979","January 18, 2022",,,,,,,,1,0
,Connie Conway,R,California?22,"September 25, 1950","June 14, 2022",,,,1,,,,0,3
,Mike Flood,R,Nebraska?1,"February 23, 1975","July 12, 2022",,,,,,,,1,0
,Brad Finstad,R,Minnesota?1,"May 30, 1976","August 12, 2022",,,,,,,,1,0
,Joe Sempolinski,R,New York?23,"February 10, 1983","September 13, 2022",,,,1,,,,0,3
,Pat Ryan,D,New York?19,"March 28, 1982","September 13, 2022",,,,,,,,1,0
,Mary Peltola,D,Alaska?AL,"August 31, 1973","September 13, 2022",,,,,,,,1,0
,Rudy Yakym,R,Indiana?2,"February 24, 1984","November 14, 2022",,,,,,,,1,0
