total_population,percent_white,percent_black,percent_asian,percent_hispanic,per_capita_income,Seats.by.State,Dist,Urb_Idx
714379,65,27,1,3,28427,7,AL-01,1
678978,61,31,1,4,27086,7,AL-02,0
713404,67,26,2,3,27257,7,AL-03,0
687640,83,7,1,7,25590,7,AL-04,0
728414,72,18,2,5,33090,7,AL-05,1
708092,75,16,2,5,37606,7,AL-06,1
662279,32,63,1,3,22811,7,AL-07,1
704482,76,1,3,14,31815,53,CA-01,1
714171,70,1,4,18,50618,53,CA-02,1
746967,46,6,11,30,32955,53,CA-03,1
750420,74,1,6,14,42995,53,CA-04,1
724984,49,6,11,29,41462,53,CA-05,3
764174,36,12,16,28,30922,53,CA-06,4
762260,51,7,17,18,37653,53,CA-07,3
729399,42,7,3,43,24957,53,CA-08,1
757213,40,3,8,45,28997,53,CA-10,3
760284,44,7,15,28,52427,53,CA-11,4
760817,34,16,21,22,49003,53,CA-13,5
788527,31,5,36,22,51640,53,CA-15,4
776763,21,2,56,16,59897,53,CA-17,5
758327,25,3,29,39,44428,53,CA-19,4
736750,36,2,5,53,35029,53,CA-20,4
769728,37,3,9,49,29407,53,CA-22,3
736030,54,2,5,37,38410,53,CA-24,2
724221,43,2,6,46,38847,53,CA-26,3
712193,55,3,13,25,48473,53,CA-28,5
715422,19,4,8,68,25093,53,CA-29,5
752561,25,10,8,54,27946,53,CA-31,3
708972,62,3,15,13,77186,53,CA-33,4
748454,13,6,7,70,23194,53,CA-35,4
727449,25,21,10,39,39492,53,CA-37,5
747357,78,8,2,8,33135,14,MI-03,1
674536,73,17,1,5,27652,14,MI-05,2
706645,87,4,1,5,32490,14,MI-07,0
715687,75,14,5,3,36469,14,MI-09,3
720318,90,3,2,3,34546,14,MI-10,1
710072,74,11,6,6,35091,14,MI-12,3
688778,31,55,5,5,31699,14,MI-14,3
765835,66,28,1,3,25931,4,MS-01,0
748342,59,36,1,3,27706,4,MS-03,0
773211,68,23,2,4,26338,4,MS-04,1
700971,35,2,1,56,24417,3,NM-02,1
760394,84,3,2,4,36289,1,ND-AL,1
732897,60,4,3,29,32957,9,AZ-02,3
811947,73,2,1,20,29539,9,AZ-04,1
842222,69,3,5,18,38237,9,AZ-05,3
827379,20,9,2,64,20690,9,AZ-07,4
793633,55,6,5,27,37719,9,AZ-09,4
715946,82,4,2,7,29788,4,KS-02,0
724511,73,6,3,13,29946,4,KS-04,2
718344,87,7,1,3,25522,6,KY-01,0
744444,66,22,3,6,33547,6,KY-03,3
693463,95,1,0,1,21185,6,KY-05,0
686598,92,2,2,2,38044,2,ME-01,1
677943,85,3,3,7,34371,8,MN-01,1
710272,80,5,5,6,41731,8,MN-02,2
715331,65,10,13,7,39538,8,MN-04,3
720083,87,4,3,3,37311,8,MN-06,1
669189,91,1,1,2,32031,8,MN-08,0
725037,40,49,3,4,31086,8,MO-01,3
762478,85,4,5,3,48976,8,MO-02,3
796189,90,3,1,3,32988,8,MO-03,1
771796,86,5,2,4,27807,8,MO-04,0
773768,63,21,2,9,31163,8,MO-05,3
775367,87,4,1,4,31487,8,MO-06,1
782474,87,2,1,5,27069,8,MO-07,1
737051,90,4,1,2,23978,8,MO-08,0
785773,73,13,3,7,31764,27,FL-01,1
726881,76,12,2,7,28507,27,FL-02,1
747806,67,16,3,10,28619,27,FL-03,0
820783,73,9,5,9,40939,27,FL-04,2
737321,39,47,2,9,22968,27,FL-05,2
783276,72,10,2,13,30599,27,FL-06,2
775811,56,10,5,26,35818,27,FL-07,2
766728,74,9,2,11,34515,27,FL-08,2
895237,40,12,3,42,25882,27,FL-09,2
790906,78,7,1,11,28886,27,FL-11,1
736584,71,12,4,10,35966,27,FL-13,3
805103,56,14,3,24,28523,27,FL-15,2
853737,69,9,2,18,37452,27,FL-16,2
781418,66,13,2,17,39781,27,FL-18,2
791022,18,53,3,24,23806,27,FL-20,4
765204,56,15,3,22,44358,27,FL-22,3
768038,39,13,4,40,38421,27,FL-23,4
775411,19,3,1,76,26088,27,FL-25,4
748601,21,4,2,72,42887,27,FL-27,4
706482,16,4,16,62,28989,53,CA-38,5
708362,4,4,2,88,18861,53,CA-40,5
822515,40,6,9,40,33609,53,CA-42,2
711773,6,15,6,71,21789,53,CA-44,5
730071,17,2,14,66,25412,53,CA-46,5
709979,31,7,23,35,35059,53,CA-47,5
741671,58,2,7,27,48595,53,CA-49,3
736161,13,6,8,70,21311,53,CA-51,4
769064,40,8,13,34,38661,53,CA-53,4
765408,67,23,2,5,30855,4,AR-02,1
820935,73,3,3,15,30703,4,AR-03,1
709090,60,14,5,17,40924,5,CT-01,2
711468,63,14,4,16,39413,5,CT-03,2
711957,67,7,4,19,42528,5,CT-05,2
701974,37,45,4,11,58659,0,DC-AL,5
736990,60,3,6,7,37094,1,AK-AL,0
817394,82,1,3,11,46428,7,CO-02,2
837275,71,1,2,22,37949,7,CO-04,1
825402,60,9,6,20,41668,7,CO-06,3
967679,62,22,4,9,36574,1,DE-AL,2
1061705,86,0,1,4,32463,1,MT-AL,0
665536,40,52,1,5,22812,14,GA-02,1
756133,22,60,5,9,28604,14,GA-04,2
759318,59,13,12,12,54281,14,GA-06,3
710259,58,31,1,7,26162,14,GA-08,0
756449,64,25,2,6,29928,14,GA-10,0
777408,65,16,3,11,41833,14,GA-11,2
729203,54,35,2,6,25596,14,GA-12,0
770115,23,60,3,11,28994,14,GA-13,2
724177,75,9,1,12,26443,14,GA-14,1
706681,15,2,49,9,39311,2,HI-01,4
713393,28,1,25,13,34737,2,HI-02,1
913009,83,1,1,11,29953,2,ID-01,1
841358,80,1,2,14,28996,2,ID-02,1
705263,35,50,2,11,30710,18,IL-01,4
692805,26,57,1,14,27052,18,IL-02,3
708422,56,5,4,33,34145,18,IL-03,4
683260,23,3,4,68,27641,18,IL-04,5
737812,67,3,7,20,56143,18,IL-05,5
723356,75,2,10,11,52078,18,IL-06,2
720942,29,44,8,17,45618,18,IL-07,5
708921,50,5,13,29,34442,18,IL-08,3
705705,56,7,11,23,46661,18,IL-10,2
690097,75,17,1,4,29324,18,IL-12,1
741407,77,3,5,13,43624,18,IL-14,2
691553,82,4,1,10,31974,18,IL-16,1
700594,88,4,3,3,35876,18,IL-18,1
782527,84,4,3,6,31769,4,IA-02,1
753385,86,2,2,7,30969,4,IA-04,0
768582,48,35,5,7,36151,8,MD-02,3
755373,25,51,3,17,41366,8,MD-04,3
770857,57,13,11,14,42523,8,MD-06,2
717953,33,52,8,4,38743,8,MD-07,4
697635,90,1,1,2,29958,14,MI-01,0
599525,83,1,1,12,29889,3,NE-03,0
725776,65,2,4,23,36380,4,NV-02,1
767748,43,15,5,31,29121,4,NV-04,4
670958,90,1,3,4,40390,2,NH-02,0
802133,71,14,2,9,34133,6,LA-01,1
785605,67,24,2,4,28957,6,LA-03,1
743209,60,35,1,2,24047,6,LA-05,0
715479,74,5,4,15,46730,27,NY-01,2
710764,60,9,4,25,42439,27,NY-02,3
722351,55,14,7,21,48392,27,NY-04,4
729584,33,4,40,21,34971,27,NY-06,5
773165,24,48,6,18,34332,27,NY-08,5
720840,33,45,7,11,37666,27,NY-09,5
729841,58,7,15,17,37019,27,NY-11,5
759560,14,24,5,54,29526,27,NY-13,5
735959,3,28,2,66,17843,27,NY-15,5
745591,34,30,5,27,46866,27,NY-16,5
724007,67,9,3,18,42995,27,NY-18,1
726000,75,9,5,7,38534,27,NY-20,2
692234,87,4,3,4,30433,27,NY-22,1
691390,88,3,2,4,29420,27,NY-23,0
716440,69,15,4,9,35164,27,NY-25,2
715117,91,3,1,3,36667,27,NY-27,0
865706,65,19,2,10,35830,13,NC-02,1
760373,67,20,1,8,28474,13,NC-03,0
761079,72,14,2,10,29144,13,NC-05,1
807268,68,18,1,10,29919,13,NC-07,0
798557,59,23,3,11,29131,13,NC-08,0
765741,77,12,2,7,28990,13,NC-10,1
885774,39,37,6,15,35384,13,NC-12,2
783838,64,22,4,8,30818,13,NC-13,1
725464,61,16,5,14,37210,12,NJ-01,3
712096,65,12,4,17,35830,12,NJ-02,1
740858,74,11,4,9,43185,12,NJ-03,2
742779,77,6,4,11,46461,12,NJ-04,2
735376,68,5,11,15,53911,12,NJ-05,3
733029,47,10,19,22,40201,12,NJ-06,3
738017,69,5,11,13,60449,12,NJ-07,2
762224,25,9,9,54,38093,12,NJ-08,5
753721,37,9,13,39,37546,12,NJ-09,5
675243,72,9,4,12,37004,3,NE-02,3
758408,19,50,7,21,32027,12,NJ-10,5
735124,72,3,10,12,59330,12,NJ-11,2
748322,45,16,18,18,45892,12,NJ-12,3
715976,62,18,1,16,31038,9,IN-01,2
724543,79,7,1,10,27911,9,IN-02,1
747367,82,6,2,6,29068,9,IN-03,1
782573,80,8,4,5,42313,9,IN-05,2
766338,51,30,4,12,26045,9,IN-07,3
758280,88,3,3,4,30780,9,IN-09,1
727193,71,6,2,19,33650,9,MA-01,2
768471,66,3,8,20,41120,9,MA-03,2
771266,69,5,13,10,56532,9,MA-05,4
773421,80,3,4,10,48901,9,MA-06,2
770058,71,10,8,6,51285,9,MA-08,3
797029,50,34,4,7,27021,16,OH-03,3
710636,87,5,1,4,29213,16,OH-04,1
692579,94,2,0,1,27376,16,OH-06,0
732249,85,6,2,4,31158,16,OH-08,1
723673,74,17,2,3,32167,16,OH-10,2
789894,84,5,5,3,40083,16,OH-12,2
705582,80,12,2,3,27381,16,OH-13,2
768439,88,4,2,2,34460,16,OH-15,1
806758,63,9,3,12,35345,5,OK-01,2
778830,73,4,1,10,27674,5,OK-03,0
821362,56,13,3,17,31493,5,OK-05,3
851961,69,2,8,15,41099,5,OR-01,3
843221,70,5,7,12,39191,5,OR-03,4
839214,74,1,3,17,35237,5,OR-05,3
525195,77,4,3,13,38220,2,RI-02,2
709715,81,4,6,5,46772,18,PA-01,2
721131,31,56,6,5,35465,18,PA-03,5
717928,61,24,7,5,39823,18,PA-05,4
731115,72,6,5,16,46151,18,PA-06,2
694063,79,5,2,12,30280,18,PA-08,1
736031,74,10,4,9,35452,18,PA-10,2
696809,92,2,2,3,29297,18,PA-12,0
695441,91,3,1,3,30089,18,PA-13,0
677288,94,2,1,2,28082,18,PA-15,0
709873,87,6,3,2,42147,18,PA-17,2
693130,72,18,4,3,35630,18,PA-18,4
724704,65,24,2,6,32851,7,SC-02,1
739881,68,18,3,8,32449,7,SC-04,2
729840,65,26,2,5,29740,7,SC-05,0
730743,65,27,1,4,26961,7,SC-07,1
720629,91,2,1,4,26718,9,TN-01,1
754370,85,6,2,4,32332,9,TN-02,1
736098,81,10,1,4,30706,9,TN-03,1
800304,79,9,2,7,28205,9,TN-04,1
773359,60,24,3,10,36988,9,TN-05,2
786772,87,5,1,5,29918,9,TN-06,0
789106,79,10,2,5,33586,9,TN-07,0
708450,72,20,2,3,34219,9,TN-08,1
703180,22,66,2,7,24664,9,TN-09,3
773796,81,1,1,13,29995,4,UT-01,2
747788,68,22,4,3,35679,16,OH-01,2
781231,76,1,2,16,31095,4,UT-02,1
770532,82,1,2,11,32359,4,UT-03,2
825680,73,2,3,17,30531,4,UT-04,3
624340,92,1,2,2,35854,1,VT-AL,0
800745,66,16,3,11,41229,11,VA-01,1
739205,62,19,6,8,38199,11,VA-02,3
740270,41,45,3,7,32316,11,VA-03,3
775135,48,40,2,6,33717,11,VA-04,1
739280,72,19,2,4,33656,11,VA-05,0
756347,79,11,2,6,31353,11,VA-06,1
800273,51,14,12,19,61078,11,VA-08,4
853906,59,7,16,14,56946,11,VA-10,2
800969,45,13,19,19,51154,11,VA-11,3
753529,69,3,9,12,37735,10,WA-02,3
724483,83,2,2,7,31540,10,WA-05,1
798799,67,5,14,8,61900,10,WA-07,4
750506,44,11,24,13,48108,10,WA-09,3
608716,93,2,1,1,28430,3,WV-01,0
621458,89,4,1,2,29566,3,WV-02,0
719909,80,5,2,10,35529,8,WI-01,2
723425,91,1,2,3,30978,8,WI-03,0
708155,41,33,4,18,27276,8,WI-04,4
714867,88,2,3,5,34295,8,WI-06,1
733446,86,1,2,6,34027,8,WI-08,1
3255642,1,0,0,99,13318,0,PR-AL,NA
722673,62,17,1,18,27042,36,TX-01,0
896996,55,10,17,15,47136,36,TX-03,3
758131,51,15,2,30,27191,36,TX-05,1
802430,47,21,5,24,32152,36,TX-06,3
879149,63,8,3,24,37442,36,TX-08,1
904588,51,11,6,29,38768,36,TX-10,1
824946,61,8,3,24,35888,36,TX-12,2
712033,62,5,2,28,27826,36,TX-13,1
794094,14,2,1,82,20547,36,TX-15,2
790135,53,13,5,27,29539,36,TX-17,1
731230,53,6,2,37,26829,36,TX-19,1
823263,20,5,3,69,24639,36,TX-20,3
941210,38,14,19,26,41296,36,TX-22,2
813614,45,12,15,25,44563,36,TX-24,3
901361,62,8,7,19,42658,36,TX-26,2
740663,38,5,2,54,28117,36,TX-27,1
739994,8,10,2,79,19396,36,TX-29,3
884928,54,11,5,25,34651,36,TX-31,2
738970,14,16,2,67,18727,36,TX-33,3
719488,13,1,1,85,18968,36,TX-34,1
748782,60,9,2,27,30703,36,TX-36,1
775716,33,9,15,39,30158,53,CA-09,3
763777,42,5,32,15,75210,53,CA-12,5
749549,33,3,35,23,58824,53,CA-14,4
736400,22,5,9,62,20630,53,CA-16,3
744487,52,2,25,16,77316,53,CA-18,4
713346,16,4,3,75,17564,53,CA-21,1
748143,44,6,5,41,28177,53,CA-23,3
710525,39,8,8,40,34202,53,CA-25,3
732957,53,1,1,40,27628,10,WA-04,1
711767,25,4,39,28,41510,53,CA-27,4
773221,49,5,13,29,46767,53,CA-30,4
707305,14,3,19,61,27098,53,CA-32,4
734546,12,5,19,61,27445,53,CA-34,5
755516,40,4,3,49,30779,53,CA-36,3
732667,29,2,32,33,39362,53,CA-39,3
768401,21,8,6,61,24423,53,CA-41,3
727766,14,21,13,48,30883,53,CA-43,5
781871,49,1,26,19,51914,53,CA-45,4
720586,54,1,19,21,53656,53,CA-48,4
748893,54,2,5,33,34855,53,CA-50,3
774895,56,3,20,15,53357,53,CA-52,4
720941,75,17,1,4,24523,4,AR-01,0
704589,71,19,1,6,24128,4,AR-04,0
701886,80,4,3,9,41570,5,CT-02,1
736148,60,11,6,20,63226,5,CT-04,2
843348,58,8,3,27,46221,7,CO-01,4
752192,70,1,1,25,31913,7,CO-03,0
811504,70,6,2,17,34496,7,CO-05,3
797811,62,2,3,30,37242,7,CO-07,3
744521,58,29,2,7,29365,14,GA-01,1
746086,64,25,2,6,32186,14,GA-03,1
780778,29,56,5,7,39703,14,GA-05,3
833680,42,21,15,20,35613,14,GA-07,2
762916,77,6,1,13,29549,14,GA-09,0
724967,63,9,13,12,48432,18,IL-09,4
717503,50,11,8,28,36590,18,IL-11,3
700322,78,11,4,4,30623,18,IL-13,1
687456,90,4,1,3,29425,18,IL-15,0
675779,75,12,1,9,27695,18,IL-17,1
772873,87,4,2,4,33068,4,IA-01,1
841226,82,4,3,7,35980,4,IA-03,2
734056,79,12,2,4,39267,8,MD-01,1
756291,57,22,8,9,48138,8,MD-03,3
764867,44,38,4,10,43207,8,MD-05,2
769645,59,12,9,15,56960,8,MD-08,3
742674,78,6,2,10,29406,14,MI-02,1
701523,91,2,1,3,29172,14,MI-04,0
720391,80,8,2,6,31277,14,MI-06,1
741973,81,5,5,6,39048,14,MI-08,2
733525,78,5,11,4,46761,14,MI-11,2
672793,33,53,1,8,21642,14,MI-13,3
694447,30,66,0,2,21473,4,MS-02,0
699637,38,2,2,50,31069,3,NM-01,3
696413,36,1,1,41,28357,3,NM-03,0
772404,48,2,1,23,26755,9,AZ-01,0
780637,26,4,2,64,22002,9,AZ-03,3
806918,70,3,5,17,48490,9,AZ-06,3
806027,67,4,4,21,34296,9,AZ-08,3
697312,76,3,2,16,27995,4,KS-01,0
774850,71,8,5,12,42566,4,KS-03,3
764943,86,5,2,4,28556,6,KY-02,0
763817,89,3,1,3,34021,6,KY-04,1
776941,81,9,2,5,31044,6,KY-06,1
654227,93,1,1,2,29293,2,ME-02,0
722911,76,8,8,4,52475,8,MN-03,2
717702,62,17,6,9,40881,8,MN-05,4
666735,88,1,1,5,31404,8,MN-07,0
843134,35,27,5,29,30219,27,FL-10,2
788853,76,5,3,14,32820,27,FL-12,2
802492,44,16,5,32,35593,27,FL-14,3
788069,73,7,1,16,31304,27,FL-17,1
834988,68,7,2,20,41510,27,FL-19,2
782529,54,15,3,25,40032,27,FL-21,3
749846,11,45,1,41,22564,27,FL-24,4
771373,17,10,2,70,26494,27,FL-26,4
649058,81,3,3,10,32317,3,NE-01,1
835738,54,8,14,18,40025,4,NV-03,4
684286,89,2,3,4,42062,2,NH-01,1
793342,28,61,2,7,27076,6,LA-02,3
745158,58,34,1,4,27730,6,LA-04,0
795169,66,24,2,5,34664,6,LA-06,1
727386,66,3,17,11,62427,27,NY-03,3
768316,11,46,15,19,30466,27,NY-05,5
721505,32,8,18,39,36852,27,NY-07,5
732646,62,3,19,13,77566,27,NY-10,5
721308,63,5,14,14,95376,27,NY-12,5
686868,22,9,17,49,29356,27,NY-14,5
740776,60,10,6,22,50052,27,NY-17,2
697087,83,4,2,8,35748,27,NY-19,0
700529,90,3,1,4,31170,27,NY-21,0
702143,81,8,3,5,33322,27,NY-24,1
707963,68,17,5,7,31767,27,NY-26,4
760016,42,43,2,9,27718,13,NC-01,1
866455,55,22,9,10,42147,13,NC-04,2
777809,65,20,2,10,29857,13,NC-06,1
788078,60,19,3,8,37445,13,NC-09,2
765533,86,3,1,6,28750,13,NC-11,0
762256,84,4,3,6,30381,9,IN-04,1
720302,91,3,2,3,29021,9,IN-06,0
719258,89,4,1,3,29060,9,IN-08,1
749700,76,5,6,10,38319,9,MA-02,1
760391,81,3,7,5,55489,9,MA-04,2
808106,40,23,11,22,41490,9,MA-07,5
744397,85,3,1,6,42538,9,MA-09,2
729324,85,8,2,2,36289,16,OH-02,1
722437,88,3,1,6,33124,16,OH-05,1
731042,90,4,1,3,29354,16,OH-07,1
704685,67,16,2,11,27904,16,OH-09,3
686269,37,52,2,5,29922,16,OH-11,4
715868,87,5,2,3,39479,16,OH-14,2
717781,90,2,2,3,37938,16,OH-16,2
749583,63,3,1,6,24559,5,OK-02,0
792809,70,7,2,9,29811,5,OK-04,1
828446,79,1,1,14,30942,5,OR-02,1
813504,83,1,2,8,30174,5,OR-04,1
532603,66,7,3,19,36799,2,RI-01,4
701019,29,11,8,46,23772,4,NV-01,4
741380,37,25,8,26,24694,18,PA-02,5
730845,76,9,7,5,49037,18,PA-04,2
730122,69,6,3,20,35634,18,PA-07,2
705602,88,2,1,7,31178,18,PA-09,0
735086,84,3,2,9,33862,18,PA-11,2
685084,92,3,1,1,33769,18,PA-14,1
684242,89,4,1,3,30794,18,PA-16,1
804679,70,18,2,7,40458,7,SC-01,2
698745,73,18,1,5,27856,7,SC-03,0
662925,36,56,1,5,22938,7,SC-06,0
879336,81,2,1,4,31415,1,SD-AL,0
798194,66,18,5,8,42535,11,VA-07,1
705034,89,5,1,2,26553,11,VA-09,0
768331,71,1,12,9,49895,10,WA-01,2
719626,76,3,4,8,37639,10,WA-06,1
758134,68,3,10,12,43438,10,WA-08,2
762320,65,6,7,12,33817,10,WA-10,3
577252,93,4,0,1,23814,3,WV-03,0
768381,81,4,4,7,38783,8,WI-02,1
727631,86,2,3,6,41675,8,WI-05,2
711161,91,1,2,2,32552,8,WI-07,0
581348,84,1,1,10,34415,1,WY-AL,0
809751,44,12,8,33,42154,36,TX-02,3
765400,70,10,1,15,30551,36,TX-04,0
793324,40,15,11,31,48269,36,TX-07,4
773209,10,37,12,39,23783,36,TX-09,4
778607,54,4,1,39,32025,36,TX-11,1
757773,50,19,3,26,32756,36,TX-14,2
740915,13,3,1,81,23407,36,TX-16,3
789793,16,34,4,43,27923,36,TX-18,3
826791,60,3,3,30,43621,36,TX-21,3
767109,24,3,2,69,26289,36,TX-23,1
804296,67,7,3,20,40153,36,TX-25,1
759810,16,4,1,78,21614,36,TX-28,2
788685,15,41,2,39,25126,36,TX-30,3
780503,48,14,9,26,47151,36,TX-32,3
830798,26,9,2,61,25727,36,TX-35,3
743780,79,1,3,10,34379,10,WA-03,1
